disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
1567,2004-10-07 00:00:00+00:00,DR,Hurricane,TROPICAL STORM JEANNE,2,Virgin Islands of the U.S.,Closed,2008-03-21T00:00:00.000Z,,113870.0,0.0,0.0,113870.0,0.0,0.0,0.0,0.0,October 2004,2004
4614,2021-09-05 00:00:00+00:00,DR,Hurricane,REMNANTS OF HURRICANE IDA,2,New Jersey,Open,,,25807054.16,2458962.34,1024995.3,19851432.52,0.0,0.0,2166408.0,3.0,September 2021,2021
4678,2022-11-28 00:00:00+00:00,DR,Flood,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",3,West Virginia,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,November 2022,2022
4123,2013-06-25 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,8,North Dakota,Closed,2015-02-03T00:00:00.000Z,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2013,2013
4795,2024-06-20 00:00:00+00:00,DR,Fire,"SOUTH FORK FIRE, SALT FIRE, AND FLOODING",6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,June 2024,2024
5222,2017-10-09 00:00:00+00:00,FM,Fire, PARTRICK FIRE,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2017,2017
5215,2017-10-09 00:00:00+00:00,FM,Fire,TUBBS FIRE ,9,California,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,October 2017,2017
5335,2020-08-19 00:00:00+00:00,FM,Fire,PINE GULCH FIRE ,8,Colorado,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,August 2020,2020
4581,2021-01-15 00:00:00+00:00,DR,Fire,WILDFIRES,8,Colorado,Open,,,1144856.4,148538.7,360000.0,531591.84,0.0,0.0,91387.86,0.0,January 2021,2021
4178,2014-06-11 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,1,Vermont,Closed,2019-06-12T00:00:00.000Z,,217506.63,0.0,0.0,217383.29,0.0,0.0,123.34,0.0,June 2014,2014
4080,2012-08-29 00:00:00+00:00,DR,Hurricane,HURRICANE ISAAC,6,Louisiana,Open,,,55357043.29,1494417.65,2097912.0,48489627.64,0.0,0.0,3275086.0,0.0,August 2012,2012
4462,2019-09-19 00:00:00+00:00,DR,Flood,FLOODING,6,Louisiana,Open,,,449777.36,0.0,0.0,0.0,0.0,0.0,449777.36,6.0,September 2019,2019
5394,2021-06-30 00:00:00+00:00,FM,Fire,0419 FIRE,10,Oregon,Open,,,647331.46,0.0,85786.76,312603.75,0.0,0.0,226624.2,0.0,June 2021,2021
